elapsed_seconds,voltage_volts,current_amps,power_watts
0.0,3.4364,0.0,0.0
1.0,3.4361,0.0,0.0
2.001,3.4359,0.0,0.0
3.001,3.4359,0.0,0.0
4.002,3.4361,0.0,0.0
5.003,4.06143956302185,1.5701,4.4221
6.003,3.4359,2.0001,5.2766
7.003,3.4314,2.0001,5.2682
8.003,3.4276,2.0001,5.261
9.003,3.4245,2.0001,5.2546
10.004,3.4213,2.0001,5.2488
11.004,3.4188,2.0001,5.2438
12.005,3.4168000000000003,2.0001,5.2396
13.005,3.4148,2.0001,5.236
14.005,3.4129,2.0001,5.2322
15.006,3.4099000000000004,2.0001,5.2256
16.006,3.407,2.0001,5.22
17.007,3.4045,2.0001,5.2146
18.007,3.4024,2.0001,5.2116
19.007,3.4010000000000002,2.0001,5.2088
20.008,3.3996000000000004,2.0001,5.2058
21.008,3.3984,2.0001,5.2028
22.008,3.3960000000000004,2.0001,5.1984
23.009,3.3938,2.0001,5.1934
24.009,3.3923,2.0001,5.1902
25.009,3.391,2.0001,5.1884
26.01,3.3902,2.0001,5.1872
27.01,3.3890000000000002,2.0001,5.185
28.011,3.3882000000000003,2.0001,5.183
29.011,3.3869000000000002,2.0001,5.1802
30.012,3.386,2.0001,5.1784
31.012,3.3846000000000003,2.0001,5.1758
32.013,3.3829000000000002,2.0001,5.1722
33.015,3.3815000000000004,2.0001,5.1696
34.015,3.3804000000000003,2.0001,5.1672
35.015,3.3797,2.0001,5.1658
36.016,3.3793,2.0001,5.1652
37.016,3.3786,2.0001,5.1636
38.017,3.378,2.0001,5.1624
39.017,3.3772,2.0001,5.1614
40.018,3.3768000000000002,2.0001,5.1602
41.018,3.3763,2.0001,5.1596
42.018,3.3757,2.0001,5.158
43.018,3.3751,2.0001,5.1572
44.018,3.3743000000000003,2.0001,5.155
45.019,3.373,2.0001,5.1524
46.019,3.3721,2.0001,5.1508
47.02,3.3711,2.0001,5.149
48.021,3.3707000000000003,2.0001,5.1478
49.021,3.3699000000000003,2.0001,5.1464
50.022,3.3691,2.0001,5.1452
51.022,3.3688000000000002,2.0001,5.1446
52.022,3.3680000000000003,2.0001,5.1428
53.023,3.3677,2.0001,5.142
54.023,3.3669000000000002,2.0001,5.1408
55.023,3.3668,2.0001,5.1402
56.024,3.3663000000000003,2.0001,5.1392
57.024,3.3654,2.0001,5.1374
58.025,3.3654,2.0001,5.1378
